,Image,F1,Jaccard,Recall,Precision
3488,.\files\images\heart28-slice488_saggital.png,1.0,1.0,1.0,1.0
3489,.\files\images\heart28-slice489_saggital.png,1.0,1.0,1.0,1.0
3490,.\files\images\heart28-slice490_saggital.png,1.0,1.0,1.0,1.0
3491,.\files\images\heart28-slice491_saggital.png,1.0,1.0,1.0,1.0
3492,.\files\images\heart28-slice492_saggital.png,1.0,1.0,1.0,1.0
3493,.\files\images\heart28-slice493_saggital.png,1.0,1.0,1.0,1.0
3494,.\files\images\heart28-slice494_saggital.png,1.0,1.0,1.0,1.0
3495,.\files\images\heart28-slice495_saggital.png,1.0,1.0,1.0,1.0
3496,.\files\images\heart28-slice496_saggital.png,1.0,1.0,1.0,1.0
3497,.\files\images\heart28-slice497_saggital.png,1.0,1.0,1.0,1.0
3498,.\files\images\heart28-slice498_saggital.png,1.0,1.0,1.0,1.0
3499,.\files\images\heart28-slice499_saggital.png,1.0,1.0,1.0,1.0
3500,.\files\images\heart28-slice500_saggital.png,1.0,1.0,1.0,1.0
3501,.\files\images\heart28-slice501_saggital.png,1.0,1.0,1.0,1.0
3502,.\files\images\heart28-slice502_saggital.png,1.0,1.0,1.0,1.0
3503,.\files\images\heart28-slice503_saggital.png,1.0,1.0,1.0,1.0
3504,.\files\images\heart28-slice504_saggital.png,1.0,1.0,1.0,1.0
3505,.\files\images\heart28-slice505_saggital.png,0.9999869791666667,0.9999739586724131,0.9999869791666667,0.9999869791666667
3506,.\files\images\heart28-slice506_saggital.png,1.0,1.0,1.0,1.0
3507,.\files\images\heart28-slice507_saggital.png,1.0,1.0,1.0,1.0
3508,.\files\images\heart28-slice508_saggital.png,1.0,1.0,1.0,1.0
3509,.\files\images\heart28-slice509_saggital.png,1.0,1.0,1.0,1.0
3510,.\files\images\heart28-slice510_saggital.png,1.0,1.0,1.0,1.0
3511,.\files\images\heart28-slice511_saggital.png,1.0,1.0,1.0,1.0
3512,.\files\images\heart28-slice512_saggital.png,1.0,1.0,1.0,1.0
3513,.\files\images\heart28-slice513_saggital.png,1.0,1.0,1.0,1.0
3514,.\files\images\heart28-slice514_saggital.png,1.0,1.0,1.0,1.0
3515,.\files\images\heart28-slice515_saggital.png,1.0,1.0,1.0,1.0
3516,.\files\images\heart28-slice516_saggital.png,1.0,1.0,1.0,1.0
3517,.\files\images\heart28-slice517_saggital.png,1.0,1.0,1.0,1.0
3518,.\files\images\heart28-slice518_saggital.png,1.0,1.0,1.0,1.0
3519,.\files\images\heart28-slice519_saggital.png,1.0,1.0,1.0,1.0
3520,.\files\images\heart28-slice520_saggital.png,1.0,1.0,1.0,1.0
3521,.\files\images\heart28-slice521_saggital.png,1.0,1.0,1.0,1.0
3522,.\files\images\heart28-slice522_saggital.png,1.0,1.0,1.0,1.0
3523,.\files\images\heart28-slice523_saggital.png,0.9999837239583333,0.9999674484464771,0.9999837239583333,0.9999837239583333
3524,.\files\images\heart28-slice524_saggital.png,1.0,1.0,1.0,1.0
3525,.\files\images\heart28-slice525_saggital.png,1.0,1.0,1.0,1.0
3526,.\files\images\heart28-slice526_saggital.png,1.0,1.0,1.0,1.0
3527,.\files\images\heart28-slice527_saggital.png,1.0,1.0,1.0,1.0
3528,.\files\images\heart28-slice528_saggital.png,1.0,1.0,1.0,1.0
3529,.\files\images\heart28-slice529_saggital.png,1.0,1.0,1.0,1.0
3530,.\files\images\heart28-slice530_saggital.png,1.0,1.0,1.0,1.0
3531,.\files\images\heart28-slice531_saggital.png,1.0,1.0,1.0,1.0
3532,.\files\images\heart28-slice532_saggital.png,1.0,1.0,1.0,1.0
3533,.\files\images\heart28-slice533_saggital.png,1.0,1.0,1.0,1.0
3534,.\files\images\heart28-slice534_saggital.png,1.0,1.0,1.0,1.0
3535,.\files\images\heart28-slice535_saggital.png,1.0,1.0,1.0,1.0
3536,.\files\images\heart28-slice536_saggital.png,1.0,1.0,1.0,1.0
3537,.\files\images\heart28-slice537_saggital.png,1.0,1.0,1.0,1.0
3538,.\files\images\heart28-slice538_saggital.png,1.0,1.0,1.0,1.0
3539,.\files\images\heart28-slice539_saggital.png,1.0,1.0,1.0,1.0
3540,.\files\images\heart28-slice540_saggital.png,1.0,1.0,1.0,1.0
3541,.\files\images\heart28-slice541_saggital.png,1.0,1.0,1.0,1.0
3542,.\files\images\heart28-slice542_saggital.png,1.0,1.0,1.0,1.0
3543,.\files\images\heart28-slice543_saggital.png,1.0,1.0,1.0,1.0
3544,.\files\images\heart28-slice544_saggital.png,1.0,1.0,1.0,1.0
3545,.\files\images\heart28-slice545_saggital.png,1.0,1.0,1.0,1.0
3546,.\files\images\heart28-slice546_saggital.png,1.0,1.0,1.0,1.0
3547,.\files\images\heart28-slice547_saggital.png,1.0,1.0,1.0,1.0
3548,.\files\images\heart28-slice548_saggital.png,1.0,1.0,1.0,1.0
3549,.\files\images\heart28-slice549_saggital.png,1.0,1.0,1.0,1.0
3550,.\files\images\heart28-slice550_saggital.png,1.0,1.0,1.0,1.0
3551,.\files\images\heart28-slice551_saggital.png,1.0,1.0,1.0,1.0
3552,.\files\images\heart28-slice552_saggital.png,1.0,1.0,1.0,1.0
3553,.\files\images\heart28-slice553_saggital.png,1.0,1.0,1.0,1.0
